song,plays,datetime,artist,album
Kiss,1,"11 Dec 2025, 20:52",Demi Lovato,It’s Not That Deep
In My Head,1,"11 Dec 2025, 20:49",Demi Lovato,It’s Not That Deep
Say It,1,"11 Dec 2025, 20:47",Demi Lovato,It’s Not That Deep
Little Bit,1,"11 Dec 2025, 20:44",Demi Lovato,It’s Not That Deep
Sorry To Myself,1,"11 Dec 2025, 20:41",Demi Lovato,It’s Not That Deep
Let You Go,1,"11 Dec 2025, 20:38",Demi Lovato,It’s Not That Deep
Bandaids,1,"11 Dec 2025, 20:35",Katy Perry,bandaids
Mature,1,"11 Dec 2025, 20:31",Hilary Duff,Mature
Christmas Every Day,1,"11 Dec 2025, 20:27",David Archuleta,My Only Wish
Winter in the Air,1,"11 Dec 2025, 20:23",David Archuleta,My Only Wish
Christmas in California,1,"11 Dec 2025, 20:21",David Archuleta,My Only Wish
Sleigh Ride,1,"11 Dec 2025, 20:18",David Archuleta,My Only Wish
Wish at the Top of My List,1,"11 Dec 2025, 19:56",David Archuleta,My Only Wish
Wi$h Li$t,1,"11 Dec 2025, 19:53",Taylor Swift,The Life of a Showgirl
Opalite,1,"11 Dec 2025, 19:49",Taylor Swift,The Life of a Showgirl
Elizabeth Taylor,1,"11 Dec 2025, 19:46",Taylor Swift,The Life of a Showgirl
The Fate of Ophelia,1,"11 Dec 2025, 19:42",Taylor Swift,The Life of a Showgirl
Headphones On,1,"11 Dec 2025, 19:38",Addison Rae,Addison
Life's No Fun Through Clear Waters,1,"11 Dec 2025, 19:37",Addison Rae,Addison
Times Like These,1,"11 Dec 2025, 19:33",Addison Rae,Addison
Fame Is a Gun,1,"11 Dec 2025, 19:29",Addison Rae,Addison
In the Rain,1,"11 Dec 2025, 19:25",Addison Rae,Addison
In the Rain,1,"11 Dec 2025, 17:11",Addison Rae,Addison
Summer Forever,1,"11 Dec 2025, 17:07",Addison Rae,Addison
High Fashion,1,"11 Dec 2025, 17:04",Addison Rae,Addison
Lost & Found,1,"11 Dec 2025, 17:03",Addison Rae,Addison
Aquamarine,1,"11 Dec 2025, 17:00",Addison Rae,Addison
Money Is Everything,1,"11 Dec 2025, 16:58",Addison Rae,Addison
Diet Pepsi,1,"11 Dec 2025, 16:55",Addison Rae,Addison
New York,1,"11 Dec 2025, 16:53",Addison Rae,Addison
it could’ve been u,1,"11 Dec 2025, 16:48",Addison Rae,AR
Nothing On (But The Radio),1,"11 Dec 2025, 16:46",Addison Rae,AR
2 Die 4 (feat. Charli XCX),1,"11 Dec 2025, 16:44",Addison Rae,AR
I got it bad,1,"11 Dec 2025, 16:41",Addison Rae,AR
Obsessed,1,"11 Dec 2025, 16:39",Addison Rae,Obsessed
under the mat,1,"11 Dec 2025, 16:34",sombr,I Barely Know Her
we never dated,1,"11 Dec 2025, 16:31",sombr,I Barely Know Her
come closer,1,"11 Dec 2025, 16:28",sombr,I Barely Know Her
undressed,1,"11 Dec 2025, 16:24",sombr,I Barely Know Her
dime,1,"11 Dec 2025, 16:21",sombr,I Barely Know Her
canal street,1,"11 Dec 2025, 16:16",sombr,I Barely Know Her
back to friends,1,"11 Dec 2025, 16:12",sombr,I Barely Know Her
i wish i knew how to quit you,1,"11 Dec 2025, 16:08",sombr,I Barely Know Her
12 to 12,1,"11 Dec 2025, 16:03",sombr,I Barely Know Her
crushing,1,"11 Dec 2025, 15:58",sombr,I Barely Know Her
Harakiri,1,"11 Dec 2025, 15:45",Kudai,Harakiri
Karma,1,"11 Dec 2025, 15:40",Kudai,Karma
Cicatriz,1,"11 Dec 2025, 15:37",Kudai,Nadha
Morir De Amor,1,"11 Dec 2025, 15:21",Kudai,Nadha
Disfraz,1,"11 Dec 2025, 15:17",Kudai,Nadha
Nada Es Igual,1,"11 Dec 2025, 15:12",Kudai,Nadha
Lejos De Aqu�,1,"11 Dec 2025, 15:08",Kudai,Nadha
Llévame,1,"11 Dec 2025, 15:04",Kudai,Sobrevive
T�,1,"11 Dec 2025, 15:00",Kudai,Sobrevive
D�jame Gritar,1,"11 Dec 2025, 14:56",Kudai,Sobrevive
Talvez,1,"11 Dec 2025, 14:52",Kudai,Sobrevive
Escapar,1,"11 Dec 2025, 14:44",Kudai,Vuelo
Sin Despertar,1,"11 Dec 2025, 14:40",Kudai,Vuelo
Opalite,1,"11 Dec 2025, 14:36",Taylor Swift,The Life of a Showgirl
Elizabeth Taylor,1,"11 Dec 2025, 14:32",Taylor Swift,The Life of a Showgirl
The Fate of Ophelia,1,"11 Dec 2025, 14:14",Taylor Swift,The Life of a Showgirl
